|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|yotoe|case|plural|gender|animacy|cattimes|transitiv|sectransitiv|aspect|pers|catcomp|catcollat|catmood|catplural|refn|secrefn|pw|f_text|f_sent
1782|контакт|контакт|Контакт|NOUN|1662.0|94.0|8.0|TITL||||nomn|sing|masc|inan|||||||||||||4|1.0
1815|кс|кс|КС|NOUN|1691.0|95.0|14.0|SPEC|||||sing||anim||||||||||Name|||1|1.0
1856|броневанна|броневанна|Броневанна|NOUN|1732.0|98.0|1.0|||||nomn|sing|femn|inan||||||||||||броне|9|1.0
1874|броневанна|броневанна|броневанна|NOUN|1749.0|99.0|2.0|||||nomn|sing|femn|inan||||||||||||броне|9|1.0
1883|останется броня|остался броня|Осталось брони|2GRM|1756.0|100.0|1.0|nPNC|181.0|||||||||||||||||||3|1.0
1892|влд|влд|ВЛД|NOUN|1764.0|101.0|5.0|ABVR|||||sing||inan|||||||||Fixd|Abbr|||4|1.0
1898|дз|дз|ДЗ|NOUN|1770.0|101.0|11.0|SPEC|||||sing||anim||||||||||Name|||12|1.0
1900|нлд|нлд|НЛД|NOUN|1772.0|101.0|13.0|ABVR|||||sing||inan|||||||||Fixd|Abbr|||4|1.0
1920|контакт1|контакт1|Контакт1|DSNU|1790.0|101.0|31.0|DSNU||||||||||||||||||||1|1.0
1924|нижний корпус|нижний корпус|нижний корпус|2GRM|1793.0|101.0|34.0|nPNC|184.0|||||||||||||||||||3|1.0
1939|дз|дз|ДЗ|NOUN|1808.0|102.0|10.0|SPEC|||||sing||anim||||||||||Name|||12|1.0
1954|броневанна|броневанна|броневанна|NOUN|1823.0|103.0|6.0|||||nomn|sing|femn|inan||||||||||||броне|9|1.0
1978|дз|дз|ДЗ|NOUN|1845.0|104.0|12.0|SPEC|||||sing||anim||||||||||Name|||12|1.0
1988|тоу2|тоу2|ТОУ2|DSNU|1855.0|104.0|22.0|DSNU||||||||||||||||||||3|1.0
1996|про|про|про|NOUN|1863.0|106.0|2.0|SPEC||||nomn|sing|femn|inan|||||||||Fixd|Abbr|||4|1.0
1997|пушка|пушки|пушки|NOUN|1864.0|106.0|3.0|SPEC||||accs|plur|femn|inan|||||||||||||5|1.0
2002|перископ|перископах|перископах|NOUN|1869.0|106.0|8.0|SPEC|||||plur|masc|inan|||||||||||||2|1.0
2017|бмд|бмд|БМД|NOUN|1884.0|107.0|8.0|SPEC|||||sing||anim||||||||||Name|||2|1.0
2035|подтверждение|подтверждение|Подтверждение|NOUN|1901.0|107.0|25.0|TITL||||nomn|sing|neut|inan|||||||||||||3|1.0
2040|мто|мто|МТО|NOUN|1906.0|108.0|4.0|SPEC|||||sing||anim||||||||||Name|||9|1.0
2049|куб|кубов|кубов|NOUN|1914.0|108.0|12.0|SPEC||||gent|plur|masc|inan|||||||||||||7|2.0
2059|бумеранг|бумеранг|Бумеранг|NOUN|1923.0|109.0|6.0|TITL||||accs|sing|masc|inan|||||||||||||4|1.0
2076|дз|дз|ДЗ|NOUN|1937.0|110.0|1.0|SPEC|||||sing||anim||||||||||Name|||12|2.0
2083|про|про|про|NOUN|1944.0|110.0|8.0|SPEC||||nomn|sing|femn|inan|||||||||Fixd|Abbr|||4|1.0
2086|рпг|рпг|РПГ|NOUN|1947.0|110.0|11.0|SPEC|||||sing||anim||||||||||Name|||2|1.0
2094|дз|дз|ДЗ|NOUN|1955.0|110.0|19.0|SPEC|||||sing||anim||||||||||Name|||12|2.0
2116|бмп-3|бмп-3|БМП-3|DSNU|1975.0|111.0|18.0|DSNU||||||||||||||||||||4|1.0
2119|бмд|бмд|БМД|NOUN|1978.0|111.0|21.0|SPEC|||||sing||anim||||||||||Name|||2|1.0
2140|кб|кб|КБ|NOUN|1999.0|113.0|14.0|SPEC||||accs|sing|neut|inan|||||||||Fixd|Abbr|||1|1.0
2144|габту|габту|ГАБТУ|NOUN|2003.0|113.0|18.0|SPEC|||||sing||anim||||||||||Name|||1|1.0
2180|каменен чат|каменты в чат|каменты в чат|ABVR|2037.0|115.0|2.0|ABVR|94.0|||||||||||||||||||1|1.0
2184|бумеранг|бумеранг|Бумеранг|NOUN|2040.0|115.0|5.0|TITL||||nomn|sing|masc|inan|||||||||||||4|1.0
2188|картонка|картонка|картонка|NOUN|2044.0|116.0|1.0|ABVR||||nomn|sing|femn|inan|||||||||||||1|1.0
2210|перископ|перископ|перисколп|NOUN|2065.0|116.0|22.0|SPEC||||accs|sing|masc|inan|||||||||||||2|1.0
2215|тоу2|тоу2|ТОУ2|DSNU|2070.0|116.0|27.0|DSNU||||||||||||||||||||3|1.0
2224|бумеранг|бумеранг|Бумеранг|NOUN|2079.0|117.0|4.0|TITL||||nomn|sing|masc|inan|||||||||||||4|1.0
2264|тонна ходовая|тонна ходовой|тонны ходовой|2GRM|2117.0|118.0|37.0|nPNC|179.0|||||||||||||||||||6|1.0
2271|влд|влд|ВЛД|NOUN|2124.0|118.0|44.0|ABVR|||||sing||inan|||||||||Fixd|Abbr|||4|1.0
2302|реликт станет|реликт стал|Реликт Стали|2GRM|2149.0|118.0|69.0|nPNC|190.0|||||||||||||||||||3|1.0
2304|нии|нии|НИИ|NOUN|2151.0|118.0|71.0|SPEC||||nomn|sing|masc|inan|||||||||Fixd|Orgn|||3|1.0
2313|бпс|бпс|БПС|NOUN|2159.0|118.0|79.0|SPEC|||||sing||anim||||||||||Name|||3|1.0
2326|карла|карл|Карл|NOUN|2172.0|118.0|92.0|ABVR||||gent|plur|masc|anim|||||||||||||2|1.0
2327|бтр|бтр|БТР|NOUN|2173.0|118.0|93.0|SPEC||||nomn|sing|masc|inan||||||||||Abbr|||5|1.0
2333|бумеранг|бумеранг|Бумеранг|NOUN|2179.0|118.0|99.0|TITL||||nomn|sing|masc|inan|||||||||||||4|1.0
2340|пушка|пушки|пушки|NOUN|2186.0|118.0|106.0|SPEC||||accs|plur|femn|inan|||||||||||||5|1.0
2364|мл-20|мл-20|МЛ-20|DSNU|2210.0|120.0|5.0|DSNU||||||||||||||||||||1|1.0
2379|кв-2|кв-2|КВ-2|DSNU|2224.0|121.0|3.0|DSNU||||||||||||||||||||1|1.0
2381|ису-152|ису-152|ИСУ-152|DSNU|2226.0|121.0|5.0|DSNU||||||||||||||||||||2|1.0
2392|снаряд|снаряда|снаряда|NOUN|2235.0|122.0|8.0|SPEC||||gent|sing|masc|inan|||||||||||||2|2.0
2397|офз|офз|ОФЗ|NOUN|2239.0|122.0|12.0|ABVR|||||sing||inan|||||||||Fixd|Abbr|||3|1.0
2398|калибр|калибра|калибра|NOUN|2240.0|122.0|13.0|SPEC||||gent|sing|masc|inan|||||||||||||2|1.0
2402|обт|обт|ОБТ|NOUN|2243.0|122.0|16.0|ABVR|||||sing||inan|||||||||Fixd|Abbr|||1|1.0
2406|снаряд|снаряд|снаряд|NOUN|2247.0|122.0|20.0|SPEC||||accs|sing|masc|inan|||||||||||||2|2.0
2419|ствол|ствол|ствол|NOUN|2259.0|122.0|32.0|SPEC||||nomn|sing|masc|inan|||||||||||||2|2.0
2420|пушка|пушки|пушки|NOUN|2260.0|122.0|33.0|SPEC||||gent|sing|femn|inan|||||||||||||5|1.0
2421|лобовая броня танка|привет лобовой броне танка|привет лобовой броне танка|ABVR|2261.0|122.0|34.0|ABVR|109.0|||||||||||||||||||1|1.0
2438|мто|мто|МТО|NOUN|2277.0|122.0|50.0|SPEC|||||sing||anim||||||||||Name|||9|1.0
2456|ствол|ствол|ствол|NOUN|2295.0|122.0|68.0|SPEC||||accs|sing|masc|inan|||||||||||||2|2.0
2462|гусеница|гусеница|гусеница|NOUN|2301.0|122.0|74.0|SPEC||||nomn|sing|femn|inan|||||||||||||5|1.0
2471|орудие|орудие|орудие|NOUN|2310.0|123.0|3.0|SPEC||||nomn|sing|neut|inan|||||||||||||1|1.0
2476|мл-15|мл-15|МЛ-15|DSNU|2314.0|123.0|7.0|DSNU||||||||||||||||||||1|1.0
2490|машина|машину|машину|NOUN|2328.0|123.0|21.0|SPEC||||accs|sing|femn|inan|||||||||||||5|1.0
2513|порох|порохах|порохах|NOUN|2350.0|124.0|13.0|SPEC|||||plur|masc|inan|||||||||||||1|1.0
2535|рсзо|рсзо|РСЗО|NOUN|2372.0|125.0|5.0|SPEC|||||sing||anim||||||||||Name|||2|1.0
2537|птур|птур|ПТУР|NOUN|2374.0|125.0|7.0|SPEC|||||sing||anim||||||||||Name|||3|1.0
2567|пво|пво|ПВО|NOUN|2402.0|125.0|35.0|SPEC||||gent|sing|femn|inan|||||||||Fixd|Abbr|||1|1.0
2579|ису-152|ису-152|ИСУ-152|DSNU|2414.0|126.0|6.0|DSNU||||||||||||||||||||2|1.0
2599|аппарат|аппарат|Аппарат|NOUN|2433.0|128.0|1.0|SPEC||||nomn|sing|masc|inan|||||||||||||2|1.0
2616|броня борта|броня борт|броне борт|2GRM|2447.0|128.0|15.0|nPNC|153.0|||||||||||||||||||4|2.0
2622|броня борта|борт броня|борт броню|2GRM|2451.0|128.0|19.0|nPNC|154.0|||||||||||||||||||4|2.0
2631|останется броня|броня остался|броню осталось|2GRM|2458.0|129.0|6.0|nPNC|182.0|||||||||||||||||||3|1.0
2647|т-64|т-64|Т-64|DSNU|2474.0|130.0|1.0|DSNU||||||||||||||||||||1|1.0
2681|про|про|про|NOUN|2507.0|133.0|3.0|SPEC||||nomn|sing|femn|inan|||||||||Fixd|Abbr|||4|1.0
2691|опвт|опвт|ОПВТ|NOUN|2516.0|133.0|12.0|SPEC|||||sing||anim||||||||||Name|||2|1.0
2738|куб|кубов|кубов|NOUN|2559.0|134.0|41.0|SPEC||||gent|plur|masc|inan|||||||||||||7|2.0
2774|т-15|т-15|Т-15|DSNU|2594.0|137.0|3.0|DSNU||||||||||||||||||||2|1.0
2785|останется броня|броня остался|Брони осталось|2GRM|2604.0|139.0|1.0|nPNC|183.0|||||||||||||||||||3|1.0
2829|мто|мто|МТО|NOUN|2645.0|140.0|3.0|SPEC|||||sing||anim||||||||||Name|||9|3.0
2842|мто|мто|МТО|NOUN|2658.0|140.0|16.0|SPEC|||||sing||anim||||||||||Name|||9|3.0
2856|прибор|приборов|приборов|NOUN|2672.0|140.0|30.0|SPEC||||gent|plur|masc|inan|||||||||||||1|1.0
2858|мто|мто|МТО|NOUN|2674.0|140.0|32.0|SPEC|||||sing||anim||||||||||Name|||9|3.0
2861|т-14|т-14|Т-14|DSNU|2677.0|140.0|35.0|DSNU||||||||||||||||||||3|1.0
2879|дз|дз|ДЗ|NOUN|2694.0|140.0|52.0|SPEC|||||sing||anim||||||||||Name|||12|2.0
2886|дз|дз|ДЗ|NOUN|2701.0|140.0|59.0|SPEC|||||sing||anim||||||||||Name|||12|2.0
2894|фальшборт|фальшборта|фальшборта|NOUN|2709.0|140.0|67.0|||||gent|sing|masc|inan|||||||||||||8|1.0
2903|бмп-3|бмп-3|БМП-3|DSNU|2718.0|141.0|8.0|DSNU||||||||||||||||||||4|1.0
2912|посадка|посадка|Посадка|NOUN|2727.0|142.0|3.0|TITL||||nomn|sing|femn|inan|||||||||||||2|1.0
2915|машина|машину|машину|NOUN|2730.0|142.0|6.0|SPEC||||accs|sing|femn|inan|||||||||||||5|1.0
2917|мто|мто|МТО|NOUN|2732.0|142.0|8.0|SPEC|||||sing||anim||||||||||Name|||9|1.0
2931|нижний корпус|нижний корпус|нижний корпус|2GRM|2744.0|142.0|20.0|nPNC|185.0|||||||||||||||||||3|1.0
2933|корпус спинки|корпус спинка|корпус спинку|2GRM|2745.0|142.0|21.0|nPNC|187.0|||||||||||||||||||3|2.0
2938|корпус спинки|спинка корпус|спинку корпуса|2GRM|2749.0|142.0|25.0|nPNC|188.0|||||||||||||||||||3|2.0
2960|машина|машины|машины|NOUN|2771.0|143.0|4.0|SPEC||||nomn|plur|femn|inan|||||||||||||5|1.0
2971|машина|машине|машине|NOUN|2782.0|144.0|10.0|SPEC||||datv|sing|femn|inan|||||||||||||5|1.0
3005|фальшборт|фальшбортом|фальшбортом|NOUN|2816.0|147.0|11.0||||||sing|masc|inan|||||||||||||8|1.0
3015|офз|офз|ОФЗ|NOUN|2826.0|147.0|21.0|ABVR|||||sing||inan|||||||||Fixd|Abbr|||3|1.0
3017|калибр|калибров|калибров|NOUN|2828.0|147.0|23.0|SPEC||||gent|plur|masc|inan|||||||||||||2|1.0
3024|корпус спинки|корпус спинка|корпусом Спинки|2GRM|2834.0|147.0|29.0|nPNC|189.0|||||||||||||||||||3|1.0
3039|т-14|т-14|Т-14|DSNU|2849.0|148.0|14.0|DSNU||||||||||||||||||||3|1.0
3080|нижний корпус|нижний корпус|нижний корпус|2GRM|2889.0|149.0|23.0|nPNC|186.0|||||||||||||||||||3|1.0
3089|механизм|механизмы|механизмы|NOUN|2898.0|149.0|32.0|SPEC||||accs|plur|masc|inan|||||||||||||1|1.0
3154|мто|мто|МТО|NOUN|2963.0|150.0|19.0|SPEC|||||sing||anim||||||||||Name|||9|1.0
3158|влд|влд|ВЛД|NOUN|2967.0|150.0|23.0|ABVR|||||sing||inan|||||||||Fixd|Abbr|||4|1.0
3162|нлд|нлд|НЛД|NOUN|2971.0|150.0|27.0|ABVR|||||sing||inan|||||||||Fixd|Abbr|||4|1.0
3169|дз|дз|ДЗ|NOUN|2978.0|151.0|3.0|SPEC|||||sing||anim||||||||||Name|||12|1.0
3182|тонна ходовая|тонна ходовой|тоннах ходовая|2GRM|2989.0|151.0|14.0|nPNC|180.0|||||||||||||||||||6|1.0
3202|колесо диаметра|диаметр колесо|диаметром колеса|2GRM|3007.0|151.0|32.0|nPNC|163.0|||||||||||||||||||3|1.0
3251|броневанна|броневанну|броневанну|NOUN|3054.0|153.0|11.0|||||accs|sing|femn|inan||||||||||||броне|9|1.0
3265|реликт станет|реликт стал|Реликт Стали|2GRM|3066.0|153.0|23.0|nPNC|191.0|||||||||||||||||||3|1.0
3270|бтр|бтр|БТР|NOUN|3071.0|154.0|4.0|SPEC||||nomn|sing|masc|inan||||||||||Abbr|||5|1.0
3300|бпс|бпс|БПС|NOUN|3099.0|155.0|16.0|SPEC|||||sing||anim||||||||||Name|||3|1.0
3301|абрам|абрам|Абрамс|NOUN|3100.0|155.0|17.0|TITL||||nomn|sing|masc|anim||||||||||Name|||1|1.0
3321|нии|нии|НИИ|NOUN|3119.0|156.0|10.0|SPEC||||gent|sing|masc|inan|||||||||Fixd|Orgn|||3|1.0
3323|реликт станет|стал реликт|Стали Реликта|2GRM|3120.0|156.0|11.0|nPNC|192.0|||||||||||||||||||3|1.0
3332|свшп|свшп|СВШП|NOUN|3128.0|156.0|19.0|ABVR|||||sing||inan|||||||||Fixd|Abbr|||3|1.0
3344|броневанна|броневанна|броневанна|NOUN|3140.0|156.0|31.0|ABVR||||nomn|sing|femn|inan||||||||||||броне|9|1.0
3357|бпс|бпс|БПС|NOUN|3152.0|156.0|43.0|SPEC|||||sing||anim||||||||||Name|||3|1.0
3367|даб|дабы|дабы|NOUN|3162.0|157.0|9.0|SPEC||||nomn|plur|masc|inan|||||||||||||1|1.0
3371|д-артаньяном|д-артаньяном|Д-Артаньяном|NOUN|3166.0|157.0|13.0|NAME|||||sing||anim||||||||||Name|||1|1.0
